# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.209123 0.0803916 6.06806e-05 2.33236e-05
6 2.75 0 0 0 0 1.41298 0.81033 0 0 0 0 0 0 0 0 0 0 1.09423 0.70792 0.286232 0.164174
7 3.25 0 0 0 0 6.22292 5.79091 0 0 0 0 0.471092 0.125682 0.0264004 0.00704325 0 0 1.01096 1.51705 1.52403 1.38395
8 3.75 0 0 0.0116539 0.0124101 0.195649 5.99927 0 0 0 0 2.63145 1.05989 1.54787 0.556562 0 0 1.77174 3.40404 1.67048 3.16308
9 4.25 0 0 3.30984 4.53771 0.000534048 6 0.12936 0.0589723 0.0162429 0.00740379 1.80242 1.88152 3.36215 2.08919 0.00519827 0.00237026 1.43748 5.36985 1.54351 5.27391
10 4.75 0 0 2.01147 7.97214 0 6 2.8949 1.70701 1.93472 1.10881 1.75751 2.88203 2.39778 3.45423 0.189263 0.110119 0.929068 6.95655 1.38756 7.64366
11 5.25 0 0 0.0707663 8.11971 0 6 3.39161 4.06527 4.45298 4.20508 1.34449 3.81689 0.706473 3.94544 0.811716 0.674529 1.01526 9.07435 1.12299 9.9862
12 5.75 0.423028 0.352532 0.373754 9.05459 0.000286752 6.00072 2.46549 6.12141 3.32089 6.97462 0.213765 3.99517 0.0645628 3.99928 1.43056 1.86758 0.938621 11.4227 0.698465 11.7337
13 6.25 4.7611 5.03989 1.10448 12.3183 0.162116 6.47986 1.77259 7.8678 1.02675 7.98617 0.0345525 4.02921 0.00202006 4.00127 1.55103 3.39567 1.03537 14.4829 0.596974 13.4981
14 6.75 0.830743 5.99373 0.51302 14.0863 2.88664 16.4309 0.114891 7.99981 0.0120379 8 0.697207 4.83036 0.239419 4.27639 1.27832 4.86454 0.926792 17.6778 1.02255 17.0231
