# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.209205 0.0805066 5.17636e-05 1.99223e-05
6 2.75 0 0 0 0 1.43636 0.824579 0 0 0 0 0 0 0 0 0 0 1.09365 0.70835 0.287603 0.165127
7 3.25 0 0 0 0 6.2038 5.79497 0 0 0 0 0.472775 0.126261 0.0265953 0.00710253 0 0 1.01677 1.52297 1.52503 1.38695
8 3.75 0 0 0.011772 0.0125491 0.191564 5.99919 0 0 0 0 2.63645 1.06321 1.55111 0.558336 0 0 1.77183 3.41199 1.67069 3.16815
9 4.25 0 0 3.32962 4.56955 0.000589354 6 0.129038 0.0588841 0.0160445 0.00732143 1.80253 1.88573 3.36484 2.09377 0.00553096 0.00252405 1.43368 5.37461 1.54355 5.28119
10 4.75 0 0 1.99182 7.97394 0 6 2.91665 1.72101 1.94498 1.11571 1.75266 2.88451 2.3964 3.45942 0.191067 0.111411 0.92924 6.96325 1.38682 7.65211
11 5.25 0 0 0.0679629 8.11582 0 6 3.36893 4.06591 4.45411 4.21596 1.34418 3.82012 0.700741 3.94715 0.816336 0.679613 1.01434 9.08131 1.12185 9.99469
12 5.75 0.432726 0.360984 0.378413 9.06333 0.000237481 6.00059 2.46743 6.12579 3.31999 6.98759 0.210426 3.99579 0.0625912 3.99941 1.43171 1.87484 0.938088 11.4307 0.697236 11.7409
13 6.25 4.76754 5.05949 1.10703 12.3379 0.158428 6.46934 1.7701 7.87151 1.01293 7.98656 0.034029 4.02935 0.00176082 4.00114 1.55651 3.40992 1.03708 14.4992 0.598784 13.5125
14 6.75 0.813317 5.9943 0.505436 14.0816 2.91915 16.5427 0.111531 7.9998 0.0116868 8 0.702242 4.83712 0.243788 4.28156 1.2696 4.87028 0.92524 17.692 1.02306 17.0429
